id,value,feed_id,created_at,lat,lon,ele
0FPV6KB2DZSQRHZ9S06N7V5DK9,491,2896360,2024-10-01 10:55:30 UTC,,,
0FPV6KXCD96KMJN6KG1XQV9PR8,491,2896360,2024-10-01 10:56:30 UTC,,,
0FPV6MFPD8FE20YQSA4KKHSS2N,492,2896360,2024-10-01 10:57:30 UTC,,,
0FPV6N20C4KQ7GWABR0DV040MH,491,2896360,2024-10-01 10:58:30 UTC,,,
0FPV6NMACAQJ8E6QZ8K7P4QQFB,492,2896360,2024-10-01 10:59:30 UTC,,,
0FPV6P6MBY46X8YDQ7197X22AC,492,2896360,2024-10-01 11:00:30 UTC,,,
0FPV6PRYC2HPFW1WV9D5ZF1SVJ,491,2896360,2024-10-01 11:01:30 UTC,,,
0FPV6QB8BPPNRKC1EYQSBX5GMJ,488,2896360,2024-10-01 11:02:30 UTC,,,
0FPV6QXJC2VRVTBCZWJEM5YQ4N,496,2896360,2024-10-01 11:03:30 UTC,,,
0FPV6RFWBDWV74MN4ZV165AJ4W,486,2896360,2024-10-01 11:04:30 UTC,,,
0FPV6S26BCGFFZRPWH5TT1BZKA,489,2896360,2024-10-01 11:05:30 UTC,,,
0FPV6SMGBCVW58P40W1SQZJXB9,487,2896360,2024-10-01 11:06:30 UTC,,,
0FPV6T6TBEQ84GGPG8ASWAPZH5,491,2896360,2024-10-01 11:07:30 UTC,,,
0FPV6TS4C41969EKKVRJT55JWZ,495,2896360,2024-10-01 11:08:30 UTC,,,
0FPV6VBEFARWP6K37FGBF5BVTB,490,2896360,2024-10-01 11:09:30 UTC,,,
0FPV6VXRCF5YN5SD5N4QB6RQYB,490,2896360,2024-10-01 11:10:30 UTC,,,
0FPV6WG2C9JDYZAH60HDS8163J,493,2896360,2024-10-01 11:11:30 UTC,,,
0FPV6X2DQ268WK227XD6W33NF6,478,2896360,2024-10-01 11:12:30 UTC,,,
0FPV6XMPGDF433TGADCRHTT98P,493,2896360,2024-10-01 11:13:30 UTC,,,
0FPV6Y70BZZG08WZMM1M058MDQ,478,2896360,2024-10-01 11:14:30 UTC,,,
0FPV6YSACR7E89XXKASMFJVP2B,482,2896360,2024-10-01 11:15:30 UTC,,,
0FPV6ZBMAP19G2CGPD7736T8AP,485,2896360,2024-10-01 11:16:30 UTC,,,
0FPV6ZXYA5WFAAGK72ZXKZ07PN,480,2896360,2024-10-01 11:17:30 UTC,,,
0FPV70G8958H6R9N9W90EE18YH,493,2896360,2024-10-01 11:18:30 UTC,,,
0FPV712JA1JCS8CD64DRXYA3RS,495,2896360,2024-10-01 11:19:30 UTC,,,
0FPV71MWACRNYB8810CJP52S2G,487,2896360,2024-10-01 11:20:30 UTC,,,
0FPV7276936RX2TN7Y83VYQVPB,483,2896360,2024-10-01 11:21:30 UTC,,,
0FPV72SG871ZQETZE5Q6Q326NV,494,2896360,2024-10-01 11:22:30 UTC,,,
0FPV73BT8J185ZF8F45TKPETDW,483,2896360,2024-10-01 11:23:30 UTC,,,
0FPV73Y4F4C2ZS978GGCMKBVMS,484,2896360,2024-10-01 11:24:30 UTC,,,
0FPV74GEASC4JK4MND29Y4RC49,493,2896360,2024-10-01 11:25:30 UTC,,,
0FPV752R8BZB200JNM2EE366XD,485,2896360,2024-10-01 11:26:30 UTC,,,
0FPV75N28TR2RY5HVFQWRC9SH9,493,2896360,2024-10-01 11:27:30 UTC,,,
0FPV767C870CEJYEHR2DPPDBFQ,492,2896360,2024-10-01 11:28:30 UTC,,,
0FPV76SP8T4SV9MG7ZTR4BWP8S,494,2896360,2024-10-01 11:29:30 UTC,,,
0FPV77C092HBZ5286NDEQMXY44,488,2896360,2024-10-01 11:30:30 UTC,,,
0FPV77YA8RPJJAVWE7XB253NVS,482,2896360,2024-10-01 11:31:30 UTC,,,
0FPV78GM8FQC7ZYQKFHBR6AN3Q,483,2896360,2024-10-01 11:32:30 UTC,,,
0FPV792Y8W2TZG492RPNNBT86X,487,2896360,2024-10-01 11:33:30 UTC,,,
0FPV79N88BVM5NSM1PTD9ZRXNF,487,2896360,2024-10-01 11:34:30 UTC,,,
0FPV7A7J732TFDNKG8DAC8R4TW,489,2896360,2024-10-01 11:35:30 UTC,,,
0FPV7ASW6VM6MQ1941ZYT3RAWV,495,2896360,2024-10-01 11:36:30 UTC,,,
0FPV7BC66MXEX06K2137BABR8D,479,2896360,2024-10-01 11:37:30 UTC,,,
0FPV7BYG82T1S9DCY0HH5M5S7Y,490,2896360,2024-10-01 11:38:30 UTC,,,
0FPV7CGT8ET1CVE5CSP2PNRVNM,491,2896360,2024-10-01 11:39:30 UTC,,,
0FPV7D34887GP2H312CB7TH6M4,463,2896360,2024-10-01 11:40:30 UTC,,,
0FPV7DNE7PR82VVP21A2D3Y569,486,2896360,2024-10-01 11:41:30 UTC,,,
0FPV7E7R7QPYM36ZWNWAPSCCJP,479,2896360,2024-10-01 11:42:30 UTC,,,
0FPV7ET284Z3MAM8C8Z2M39BR9,492,2896360,2024-10-01 11:43:30 UTC,,,
0FPV7FCCAM36BG3PTZRRERA4A8,490,2896360,2024-10-01 11:44:30 UTC,,,
0FPV7FYP7Q9C6VRMZR03QBKA6D,484,2896360,2024-10-01 11:45:30 UTC,,,
0FPV7GH07BZ2FYFN5APWGTZFMX,481,2896360,2024-10-01 11:46:30 UTC,,,
0FPV7H3A6X24NTX5SZ6DBJEMK5,487,2896360,2024-10-01 11:47:30 UTC,,,
0FPV7HZEVVP04GQMY024BWTKMA,485,2896360,2024-10-01 11:49:02 UTC,,,
0FPV7JHS0C3PWXA641KJRJ19C6,478,2896360,2024-10-01 11:50:02 UTC,,,
0FPV7K42TK42DDSG5SGWJPCGN3,485,2896360,2024-10-01 11:51:02 UTC,,,
0FPV7KPCTJG9M6QHH44AXYE7EE,486,2896360,2024-10-01 11:52:02 UTC,,,
0FPV7M8Q0K6WV846YRDXXN0RK0,496,2896360,2024-10-01 11:53:02 UTC,,,
0FPV7MV0THBXCMTN863MYVRX74,478,2896360,2024-10-01 11:54:02 UTC,,,
0FPV7NDAT0RKFQ7KQ3Q1MCQKT4,485,2896360,2024-10-01 11:55:02 UTC,,,
0FPV7NZMRF1DJ8S85RV19EEEVQ,482,2896360,2024-10-01 11:56:02 UTC,,,
0FPV7PHYS6DE6VB39QQ7C7E9Q9,496,2896360,2024-10-01 11:57:02 UTC,,,
0FPV7Q48RR5QP66HT6RKD88NJD,483,2896360,2024-10-01 11:58:02 UTC,,,
0FPV7QPJSJEN0NB07P6PG33J7F,489,2896360,2024-10-01 11:59:02 UTC,,,
0FPV7R8WVCZH27Y1AMD0V235KN,491,2896360,2024-10-01 12:00:02 UTC,,,
0FPV7RV6T6XS54WF01PTSJYG65,545,2896360,2024-10-01 12:01:02 UTC,,,
0FPV7SDH1CGT3P3P4W84P8XZE1,533,2896360,2024-10-01 12:02:02 UTC,,,
0FPV7SZTTR5JXTREN40TRG1QFW,554,2896360,2024-10-01 12:03:02 UTC,,,
0FPV7TJ4VFF3HSA65XHV50QNJR,545,2896360,2024-10-01 12:04:02 UTC,,,
0FPV7V4EXY6JGCTR54XYX5QY04,532,2896360,2024-10-01 12:05:02 UTC,,,
0FPV7VPRSXGQMC1C454FKFVGRG,539,2896360,2024-10-01 12:06:02 UTC,,,
0FPV7W92SVK7857V9DB03PS2K4,533,2896360,2024-10-01 12:07:02 UTC,,,
0FPV7WVCT9YP40ZBYEQDKDSWBQ,528,2896360,2024-10-01 12:08:02 UTC,,,
0FPV7XDPSBXBM2V6VDJCMMTV4T,523,2896360,2024-10-01 12:09:02 UTC,,,
0FPV7Y00SRG8VGN1BVCP42JV17,538,2896360,2024-10-01 12:10:02 UTC,,,
0FPV7YJARAS3QBV0Q07MM9YM66,530,2896360,2024-10-01 12:11:02 UTC,,,
0FPV7Z4MR774479MPYM72QJACA,528,2896360,2024-10-01 12:12:02 UTC,,,
0FPV7ZPYQJTWVBGB0EMRVWY4H7,525,2896360,2024-10-01 12:13:02 UTC,,,
0FPV8098QTP6SE1DG069PHAQ38,535,2896360,2024-10-01 12:14:02 UTC,,,
0FPV80VK0PT1Y9QM16S6S69B6P,524,2896360,2024-10-01 12:15:02 UTC,,,
0FPV81DWR0582XS5PTJWV52QBY,528,2896360,2024-10-01 12:16:02 UTC,,,
0FPV8206WQZWVFBZXK7B8ZP2XB,528,2896360,2024-10-01 12:17:02 UTC,,,
0FPV82JGRDYKD57556WZ6SK7N9,524,2896360,2024-10-01 12:18:02 UTC,,,
0FPV834TR97KENYQ70W55G8MT0,529,2896360,2024-10-01 12:19:02 UTC,,,
0FPV83Q4T0S4Y4E5T6159NB549,528,2896360,2024-10-01 12:20:02 UTC,,,
0FPV849ERWTXP0K43T17Y7R2YS,528,2896360,2024-10-01 12:21:02 UTC,,,
0FPV84VRSQ1D23JJJB8NWBN959,529,2896360,2024-10-01 12:22:02 UTC,,,
0FPV85E2TDNXJ8ZX9BXPY7NWSG,530,2896360,2024-10-01 12:23:02 UTC,,,
0FPV860CSAJT89N36K2HTDJVQB,526,2896360,2024-10-01 12:24:02 UTC,,,
0FPV86JPWRW2NBJK10X61E16GR,527,2896360,2024-10-01 12:25:03 UTC,,,
0FPV87510XYRGTWNZVJAMBG6PV,531,2896360,2024-10-01 12:26:03 UTC,,,
0FPV87QATD95TZ8GB42ZDB7DDT,523,2896360,2024-10-01 12:27:03 UTC,,,
0FPV889MSVTSK4QDCPTXTXPAPS,528,2896360,2024-10-01 12:28:03 UTC,,,
0FPV88VYT8VNR4PPXZ3E2E3V60,529,2896360,2024-10-01 12:29:03 UTC,,,
0FPV89E8TCBWQ05X6YE99R8SG9,530,2896360,2024-10-01 12:30:03 UTC,,,
0FPV8A0K002GVWZYKSDMZGM9WE,533,2896360,2024-10-01 12:31:03 UTC,,,
0FPV8AJWTQGM57JXTXFDC05WH7,525,2896360,2024-10-01 12:32:03 UTC,,,
0FPV8B56SWCDBENRZSTK5A9JDK,529,2896360,2024-10-01 12:33:03 UTC,,,
0FPV8BQGV8B2RJYNK8CZJ8JEFA,526,2896360,2024-10-01 12:34:03 UTC,,,
0FPV8C9TW0QWBQJDMCXKXBCD6J,528,2896360,2024-10-01 12:35:03 UTC,,,
0FPV8CW4THSHNQFN2ZCK1D8BEK,511,2896360,2024-10-01 12:36:03 UTC,,,
0FPV8DEESZ6YBQ72PJFDKAG99F,523,2896360,2024-10-01 12:37:03 UTC,,,
0FPV8E0RSGW70BFN3PC385D64Z,529,2896360,2024-10-01 12:38:03 UTC,,,
0FPV8EK2SQ57EPT4CQ4F9JCKZE,511,2896360,2024-10-01 12:39:03 UTC,,,
0FPV8F5CVWDSWP40WTD8PY5TZH,526,2896360,2024-10-01 12:40:03 UTC,,,
0FPV8FQPSRGH4FWB2PC3REVFD3,527,2896360,2024-10-01 12:41:03 UTC,,,
0FPV8GA0S3DV23MDQDDMEKV6XE,527,2896360,2024-10-01 12:42:03 UTC,,,
0FPV8GWAWD82STC9VS0B25W474,531,2896360,2024-10-01 12:43:03 UTC,,,
0FPV8HEMR6SBTVN6K88MSZ9ZYB,528,2896360,2024-10-01 12:44:03 UTC,,,
0FPV8J0YP1M92YQZYWWTGBZ3W8,525,2896360,2024-10-01 12:45:03 UTC,,,
0FPV8JK8MN7GZ4V7B4Y2BC4J5M,528,2896360,2024-10-01 12:46:03 UTC,,,
0FPV8K5JN7W54YWJ5RG71E21JB,525,2896360,2024-10-01 12:47:03 UTC,,,
0FPV8KQWKJV2WXNHRY65YKWFK5,528,2896360,2024-10-01 12:48:03 UTC,,,
0FPV8MA6PFQ6139TB9W95RNX88,528,2896360,2024-10-01 12:49:03 UTC,,,
0FPV8MWGNSKXXX6TARAEZ8ZJ6Q,530,2896360,2024-10-01 12:50:03 UTC,,,
0FPV8NETMTK9M1F6PQ891AC4XF,528,2896360,2024-10-01 12:51:03 UTC,,,
0FPV8P14MKBYN1MTY241H4E57W,527,2896360,2024-10-01 12:52:03 UTC,,,
0FPV8PKEPYYR2Z9285XRF25ZXA,531,2896360,2024-10-01 12:53:03 UTC,,,
0FPV8Q5RM32DG4RQRNAQCGMFF3,526,2896360,2024-10-01 12:54:03 UTC,,,
0FPV8QR2NB4EGV9ZXS48D75QE4,528,2896360,2024-10-01 12:55:03 UTC,,,
0FPV8RACK8BZQ5Z1CEK0ESPYJS,525,2896360,2024-10-01 12:56:03 UTC,,,
0FPV8RWPKGFMXE5Y63BXKC1RYA,524,2896360,2024-10-01 12:57:03 UTC,,,
0FPV8SF29FXKMFCDREEZPJ898F,528,2896360,2024-10-01 12:58:03 UTC,,,
0FPV8T1AJZ5WNESS3N6RJ4G588,528,2896360,2024-10-01 12:59:03 UTC,,,
